HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Villarreal,Celta,1,0,H,0,0,D,10,12,3,2,12,14,5,6,1,1,0,0
Getafe,Valencia,0,0,D,0,0,D,16,6,6,0,18,21,5,3,6,5,0,0
Vallecano,Sevilla,1,1,D,0,0,D,10,3,2,2,16,15,5,6,0,1,0,0
Betis,Ath Bilbao,1,0,H,1,0,H,8,11,5,2,17,12,5,6,4,5,1,0
Sociedad,Alaves,1,0,H,0,0,D,15,13,6,4,15,12,6,4,1,1,0,0
Barcelona,Osasuna,4,0,H,3,0,H,24,4,9,3,7,4,5,1,0,4,0,0
Mallorca,Real Madrid,0,3,A,0,0,D,14,11,3,5,13,15,1,6,3,3,0,0
Ath Bilbao,Getafe,1,1,D,1,1,D,22,7,11,2,15,13,8,2,4,5,0,2
Alaves,Granada,2,3,A,0,0,D,11,12,6,3,12,10,6,2,4,6,0,1
Elche,Valencia,0,1,A,0,0,D,8,8,2,3,19,14,4,2,3,3,1,0
Osasuna,Levante,3,1,H,1,0,H,20,13,7,4,9,17,6,1,0,1,0,0
Vallecano,Ath Madrid,0,1,A,0,0,D,15,11,3,3,15,12,3,6,0,0,0,1
Espanol,Mallorca,1,0,H,1,0,H,12,9,3,3,14,12,6,6,3,3,0,0
Cadiz,Villarreal,1,0,H,0,0,D,16,3,7,1,11,11,6,3,3,2,0,0
Celta,Betis,0,0,D,0,0,D,9,7,3,1,12,12,2,2,1,2,0,0
Sevilla,Sociedad,0,0,D,0,0,D,10,13,0,2,12,13,7,3,0,3,0,0
Real Madrid,Barcelona,0,4,A,0,2,A,14,18,4,10,9,12,4,3,4,4,0,0
Getafe,Mallorca,1,0,H,0,0,D,16,7,3,1,15,22,5,1,5,6,0,1
Levante,Villarreal,2,0,H,0,0,D,13,13,4,2,16,13,1,8,4,2,0,0
Celta,Real Madrid,1,2,A,0,1,A,10,12,4,6,16,12,9,3,3,0,0,0
Ath Madrid,Alaves,4,1,H,1,0,H,14,7,8,1,10,13,8,2,1,0,0,0
Ath Bilbao,Elche,2,1,H,1,0,H,16,6,6,2,14,16,7,4,2,4,0,0
Betis,Osasuna,4,1,H,2,0,H,24,10,8,3,11,5,11,7,1,3,0,0
Granada,Vallecano,2,2,D,0,2,A,17,10,9,4,14,14,5,4,4,5,0,1
Valencia,Cadiz,0,0,D,0,0,D,5,4,1,3,11,18,4,3,3,6,0,1
Barcelona,Sevilla,1,0,H,0,0,D,19,8,6,3,12,8,9,2,3,3,0,0
Sociedad,Espanol,1,0,H,0,0,D,17,8,6,2,17,13,6,0,2,4,0,0
Sevilla,Granada,4,2,H,1,1,D,16,15,8,5,7,7,14,3,2,2,0,0
Cadiz,Betis,1,2,A,0,0,D,10,10,4,3,18,10,8,4,1,2,0,0
Mallorca,Ath Madrid,1,0,H,0,0,D,10,9,3,1,14,11,1,6,1,4,0,0
Villarreal,Ath Bilbao,1,1,D,0,1,A,11,12,5,6,17,15,7,2,2,3,0,0
Real Madrid,Getafe,2,0,H,1,0,H,26,8,8,0,13,11,10,2,2,2,0,0
Osasuna,Alaves,1,0,H,0,0,D,15,8,4,2,12,6,7,3,3,1,0,0
Espanol,Celta,1,0,H,0,0,D,11,10,2,5,12,21,2,3,4,1,0,0
Elche,Sociedad,1,2,A,1,2,A,10,17,1,6,15,12,8,9,3,3,0,0
Levante,Barcelona,2,3,A,0,0,D,11,14,6,7,8,7,4,3,1,1,0,0
Vallecano,Valencia,1,1,D,0,0,D,11,6,4,2,13,17,5,4,3,4,0,0
Sociedad,Betis,0,0,D,0,0,D,9,9,2,2,17,7,8,1,4,4,1,0
Elche,Mallorca,3,0,H,1,0,H,6,13,2,2,17,13,2,1,2,3,0,0
Alaves,Vallecano,1,0,H,0,0,D,11,20,5,3,10,9,2,12,2,3,0,1
Valencia,Osasuna,1,2,A,0,0,D,11,9,4,3,11,22,9,5,1,2,0,0
Getafe,Villarreal,1,2,A,0,2,A,12,11,5,6,17,6,6,6,2,0,0,0
Granada,Levante,1,4,A,0,1,A,16,17,4,8,10,9,13,2,5,2,1,0
Ath Madrid,Espanol,2,1,H,0,0,D,10,11,3,5,18,12,6,3,5,5,1,0
Ath Bilbao,Celta,0,2,A,0,2,A,10,6,2,4,13,15,5,4,2,2,0,0
Sevilla,Real Madrid,2,3,A,2,0,H,7,15,2,6,11,9,0,3,3,4,0,0
Barcelona,Cadiz,0,1,A,0,0,D,18,6,6,4,16,9,8,1,4,1,0,0
Mallorca,Alaves,2,1,H,2,0,H,5,12,3,4,25,15,0,6,2,6,0,0
Betis,Elche,0,1,A,0,0,D,18,9,3,1,9,14,2,3,2,3,1,0
Villarreal,Valencia,2,0,H,2,0,H,12,5,5,1,14,12,3,2,2,3,0,0
Ath Madrid,Granada,0,0,D,0,0,D,22,7,1,2,9,12,11,1,4,5,0,0
Celta,Getafe,0,2,A,0,1,A,9,6,2,3,13,13,2,1,2,5,0,0
Osasuna,Real Madrid,1,3,A,1,2,A,12,23,3,11,13,7,3,4,1,3,0,0
Espanol,Vallecano,0,1,A,0,1,A,6,13,2,2,14,18,3,10,4,4,0,0
Levante,Sevilla,2,3,A,1,2,A,15,13,6,6,9,12,10,4,1,5,0,0
Cadiz,Ath Bilbao,2,3,A,0,3,A,27,9,8,7,9,15,4,1,3,5,0,1
Sociedad,Barcelona,0,1,A,0,1,A,8,11,5,1,12,9,5,3,1,2,0,0
Barcelona,Vallecano,0,1,A,0,1,A,18,3,5,1,10,1,9,1,4,6,0,0
Sevilla,Cadiz,1,1,D,1,0,H,11,10,6,4,15,11,5,6,2,2,0,0
Alaves,Villarreal,2,1,H,2,0,H,11,16,5,6,14,5,5,8,5,2,0,0
Real Madrid,Espanol,4,0,H,2,0,H,11,20,5,6,11,6,6,8,2,0,0,0
Valencia,Levante,1,1,D,1,0,H,6,24,1,6,11,21,1,7,4,3,1,0
Ath Bilbao,Ath Madrid,2,0,H,1,0,H,11,9,4,3,18,15,5,3,3,3,0,0
Elche,Osasuna,1,1,D,0,0,D,11,9,4,3,13,18,7,4,4,2,0,0
Granada,Celta,1,1,D,0,0,D,15,13,6,6,11,13,5,4,1,3,0,0
Vallecano,Sociedad,1,1,D,0,1,A,13,8,7,3,15,7,8,5,2,1,0,0
Barcelona,Mallorca,2,1,H,1,0,H,17,6,5,2,13,12,5,2,2,3,0,0
Getafe,Betis,0,0,D,0,0,D,13,9,2,4,13,13,2,4,1,1,0,0
Levante,Sociedad,2,1,H,0,0,D,16,21,7,6,10,11,7,6,2,3,0,0
Mallorca,Granada,2,6,A,1,1,D,18,14,8,7,11,13,5,5,3,2,0,0
Ath Bilbao,Valencia,0,0,D,0,0,D,10,4,5,1,13,22,4,2,4,4,0,1
Cadiz,Elche,3,0,H,0,0,D,17,4,7,2,18,13,8,1,1,0,0,1
Celta,Alaves,4,0,H,2,0,H,15,3,7,1,7,7,7,1,1,3,0,1
Betis,Barcelona,1,2,A,0,0,D,14,11,5,5,16,18,4,8,1,2,0,0
Getafe,Vallecano,0,0,D,0,0,D,12,12,6,1,20,14,4,5,3,4,0,0
Villarreal,Sevilla,1,1,D,0,0,D,14,7,6,2,14,15,4,2,3,0,0,0
Espanol,Osasuna,1,1,D,0,1,A,12,12,3,5,6,15,6,6,1,3,0,0
Ath Madrid,Real Madrid,1,0,H,1,0,H,16,15,2,6,17,7,4,6,2,4,0,0
Valencia,Betis,0,3,A,0,0,D,19,9,5,5,17,11,7,3,1,3,0,0
Granada,Ath Bilbao,1,0,H,1,0,H,12,8,2,1,20,11,2,7,4,2,0,1
Barcelona,Celta,3,1,H,2,0,H,10,13,4,5,18,6,2,8,3,0,0,1
Alaves,Espanol,2,1,H,1,1,D,27,5,9,3,11,15,12,3,3,3,0,1
Osasuna,Getafe,1,1,D,1,1,D,12,6,1,0,10,17,7,2,2,4,0,1
Sevilla,Mallorca,0,0,D,0,0,D,18,10,4,2,11,18,6,3,4,6,0,0
Elche,Ath Madrid,0,2,A,0,1,A,9,11,0,6,16,7,6,3,2,2,0,0
Sociedad,Cadiz,3,0,H,1,0,H,13,14,7,1,13,11,2,12,4,2,0,0
Vallecano,Villarreal,1,5,A,1,4,A,17,11,3,8,13,10,9,3,5,2,0,0
Real Madrid,Levante,6,0,H,4,0,H,27,16,16,1,8,6,6,6,2,1,0,0
Espanol,Valencia,1,1,D,1,1,D,5,18,3,5,18,15,2,3,4,1,0,0
Ath Bilbao,Osasuna,2,0,H,1,0,H,14,8,8,1,6,14,10,6,0,0,0,0
Ath Madrid,Sevilla,1,1,D,1,0,H,12,8,3,4,14,18,4,5,2,5,0,0
Betis,Granada,2,0,H,1,0,H,11,14,4,4,11,17,4,9,0,1,0,0
Cadiz,Real Madrid,1,1,D,1,1,D,21,16,7,7,13,11,10,2,7,2,0,0
Celta,Elche,1,0,H,1,0,H,14,10,5,1,11,12,7,5,2,2,0,0
Getafe,Barcelona,0,0,D,0,0,D,9,5,3,1,9,8,5,5,1,2,0,0
Levante,Alaves,3,1,H,0,1,A,15,6,5,2,19,10,3,4,8,6,0,0
Mallorca,Vallecano,2,1,H,1,0,H,12,11,5,4,13,8,5,3,1,0,0,0
Villarreal,Sociedad,1,2,A,1,0,H,10,11,4,6,12,16,4,3,4,2,0,0
Real Madrid,Betis,0,0,D,0,0,D,17,11,3,2,7,12,8,5,0,0,0,0
Vallecano,Levante,2,4,A,1,3,A,19,14,8,7,8,12,7,3,0,3,0,0
Valencia,Celta,2,0,H,1,0,H,10,9,3,3,22,19,3,3,3,3,0,0
Elche,Getafe,3,1,H,1,1,D,19,7,9,2,11,9,8,3,2,2,0,0
Alaves,Cadiz,0,1,A,0,0,D,9,13,2,6,11,13,4,4,0,1,0,0
Granada,Espanol,0,0,D,0,0,D,15,10,5,5,9,12,7,3,1,0,0,0
Osasuna,Mallorca,0,2,A,0,0,D,11,14,1,6,8,14,5,7,2,2,0,0
Barcelona,Villarreal,0,2,A,0,1,A,14,4,3,3,12,7,12,1,3,1,0,0
Sevilla,Ath Bilbao,1,0,H,0,0,D,13,9,3,1,13,12,5,0,3,3,0,0
Sociedad,Ath Madrid,1,2,A,0,0,D,12,6,3,5,16,11,3,2,4,2,0,0
Osasuna,Sevilla,2,1,H,1,1,D,12,10,5,3,16,9,5,2,5,3,0,0
Celta,Espanol,2,2,D,1,0,H,8,10,3,2,17,15,3,3,5,2,0,0
Valladolid,Villarreal,0,3,A,0,0,D,12,10,6,4,6,10,4,5,1,0,0,0
Barcelona,Vallecano,0,0,D,0,0,D,21,4,6,2,16,14,8,0,3,6,1,0
Cadiz,Sociedad,0,1,A,0,1,A,7,15,2,7,9,20,3,6,4,2,0,0
Valencia,Girona,1,0,H,1,0,H,17,5,2,1,18,14,4,4,2,3,1,0
Almeria,Real Madrid,1,2,A,1,0,H,10,29,6,15,11,4,2,15,3,1,0,0
Ath Bilbao,Mallorca,0,0,D,0,0,D,23,6,6,2,13,12,7,2,0,6,0,0
Getafe,Ath Madrid,0,3,A,0,1,A,10,12,0,5,14,19,3,6,2,1,0,0
Betis,Elche,3,0,H,2,0,H,17,4,8,2,10,18,8,4,3,6,0,1
Espanol,Vallecano,0,2,A,0,1,A,13,8,1,3,12,17,9,2,2,5,1,1
Sevilla,Valladolid,1,1,D,0,0,D,18,6,2,3,20,10,12,2,3,2,1,1
Osasuna,Cadiz,2,0,H,1,0,H,16,9,3,2,11,13,2,2,2,5,0,1
Mallorca,Betis,1,2,A,0,1,A,13,8,7,3,22,17,5,2,7,8,0,0
Celta,Real Madrid,1,4,A,1,2,A,15,16,2,7,12,8,2,2,2,2,0,0
Ath Bilbao,Valencia,1,0,H,1,0,H,12,10,2,0,11,15,6,3,5,2,0,0
Ath Madrid,Villarreal,0,2,A,0,0,D,13,19,5,5,8,11,5,6,2,3,1,0
Sociedad,Barcelona,1,4,A,1,1,D,10,15,5,7,16,9,3,6,2,1,0,0
Elche,Almeria,1,1,D,1,1,D,13,12,3,7,12,16,6,5,1,4,0,1
Girona,Getafe,3,1,H,1,0,H,12,7,6,3,16,18,5,2,3,6,0,1
Girona,Celta,0,1,A,0,0,D,11,11,3,6,16,13,2,4,2,1,0,0
Betis,Osasuna,1,0,H,1,0,H,7,12,1,2,9,21,2,4,0,3,1,0
Elche,Sociedad,0,1,A,0,1,A,12,9,5,5,13,18,4,6,3,3,0,0
Vallecano,Mallorca,0,2,A,0,1,A,15,9,0,4,11,18,7,3,1,3,0,0
Almeria,Sevilla,2,1,H,1,1,D,11,13,5,5,18,11,5,2,5,8,0,0
Getafe,Villarreal,0,0,D,0,0,D,8,11,2,6,11,19,1,4,1,5,0,0
Barcelona,Valladolid,4,0,H,2,0,H,24,8,9,3,9,8,14,4,0,3,0,0
Espanol,Real Madrid,1,3,A,1,1,D,15,19,4,6,15,12,7,7,0,0,1,0
Cadiz,Ath Bilbao,0,4,A,0,1,A,9,20,3,8,18,4,0,6,2,1,0,0
Valencia,Ath Madrid,0,1,A,0,0,D,12,13,2,7,15,17,6,2,4,3,0,0
Celta,Cadiz,3,0,H,0,0,D,9,7,5,0,13,23,2,2,1,2,0,0
Mallorca,Girona,1,1,D,0,0,D,10,10,4,4,23,9,6,3,4,2,0,0
Real Madrid,Betis,2,1,H,1,1,D,22,8,4,4,8,12,9,2,0,1,0,0
Sociedad,Ath Madrid,1,1,D,0,1,A,12,15,5,7,18,13,7,7,5,4,0,0
Sevilla,Barcelona,0,3,A,0,2,A,9,18,4,7,15,14,4,4,2,4,0,0
Osasuna,Vallecano,2,1,H,0,0,D,13,5,6,3,14,16,4,0,2,2,0,0
Ath Bilbao,Espanol,0,1,A,0,0,D,17,9,2,2,12,12,4,2,3,2,0,0
Villarreal,Elche,4,0,H,2,0,H,18,7,10,0,10,9,6,4,1,3,0,0
Valencia,Getafe,5,1,H,3,0,H,24,7,9,4,11,21,9,1,3,6,1,1
Valladolid,Almeria,1,0,H,0,0,D,14,12,6,1,11,20,2,8,1,6,0,0
Girona,Valladolid,2,1,H,1,1,D,14,14,5,4,11,15,3,12,0,2,0,0
Vallecano,Valencia,2,1,H,1,0,H,14,17,6,4,22,11,7,7,5,2,0,0
Espanol,Sevilla,2,3,A,1,3,A,19,11,5,7,11,14,9,3,3,5,0,1
Cadiz,Barcelona,0,4,A,0,0,D,6,16,0,8,12,13,5,6,1,2,0,0
Ath Madrid,Celta,4,1,H,1,0,H,10,14,4,3,11,6,4,7,2,3,0,0
Real Madrid,Mallorca,4,1,H,1,1,D,22,5,7,2,7,15,4,3,3,5,0,0
Elche,Ath Bilbao,1,4,A,0,4,A,9,16,2,8,15,9,5,5,3,0,0,0
Getafe,Sociedad,2,1,H,1,0,H,8,13,3,6,9,16,3,7,4,1,0,0
Betis,Villarreal,1,0,H,0,0,D,16,14,5,3,11,14,9,8,1,1,0,0
Almeria,Osasuna,0,1,A,0,1,A,7,15,2,4,4,9,5,10,0,2,0,0
Valladolid,Cadiz,0,1,A,0,0,D,18,7,6,1,12,19,8,2,1,4,0,0
Mallorca,Almeria,1,0,H,1,0,H,5,9,2,3,15,14,5,2,3,6,0,0
Barcelona,Elche,3,0,H,2,0,H,25,1,9,1,11,9,6,0,2,2,0,1
Valencia,Celta,3,0,H,1,0,H,14,6,7,2,18,23,5,4,3,2,0,1
Ath Bilbao,Vallecano,3,2,H,3,1,H,14,11,7,2,13,13,2,7,1,2,0,0
Osasuna,Getafe,0,2,A,0,1,A,12,10,4,4,15,15,8,1,7,3,1,1
Villarreal,Sevilla,1,1,D,0,1,A,17,12,7,1,15,12,6,4,1,5,0,0
Betis,Girona,2,1,H,1,1,D,9,8,3,3,9,8,2,4,0,3,0,0
Sociedad,Espanol,2,1,H,2,1,H,14,14,6,4,18,8,4,2,3,0,0,0
Ath Madrid,Real Madrid,1,2,A,0,2,A,12,6,5,3,15,16,8,1,4,2,1,0
Ath Bilbao,Almeria,4,0,H,2,0,H,17,8,4,2,17,8,11,2,1,3,0,0
Cadiz,Villarreal,0,0,D,0,0,D,10,14,2,6,13,8,6,5,2,3,1,0
Getafe,Valladolid,2,3,A,2,2,D,14,14,6,7,23,13,4,2,2,4,0,0
Sevilla,Ath Madrid,0,2,A,0,1,A,14,20,3,6,9,12,5,7,3,2,0,0
Mallorca,Barcelona,0,1,A,0,1,A,13,11,3,3,9,13,5,5,2,4,0,0
Espanol,Valencia,2,2,D,0,0,D,10,12,5,5,16,15,6,4,2,1,1,1
Celta,Betis,1,0,H,1,0,H,11,9,4,4,26,3,5,3,4,3,0,1
Girona,Sociedad,3,5,A,2,2,D,16,11,8,5,9,19,2,2,3,1,0,0
Real Madrid,Osasuna,1,1,D,1,0,H,22,8,4,2,9,13,10,2,1,2,0,1
Vallecano,Elche,2,1,H,1,1,D,15,5,6,2,5,19,13,3,1,8,0,0
Osasuna,Valencia,1,2,A,0,1,A,11,15,2,7,11,19,7,5,3,6,2,1
Almeria,Vallecano,3,1,H,3,0,H,10,12,4,4,22,12,7,6,4,2,1,0
Ath Madrid,Girona,2,1,H,1,0,H,13,11,7,4,12,13,8,3,3,1,0,0
Sevilla,Ath Bilbao,1,1,D,1,0,H,10,21,3,4,19,14,5,7,4,0,0,1
Getafe,Real Madrid,0,1,A,0,1,A,9,19,2,4,10,5,4,4,0,0,0,0
Valladolid,Betis,0,0,D,0,0,D,12,4,3,1,12,16,3,1,1,1,0,1
Cadiz,Espanol,2,2,D,1,0,H,8,9,3,6,13,12,8,3,4,4,0,0
Sociedad,Villarreal,1,0,H,1,0,H,17,5,5,1,21,18,9,3,5,3,0,0
Barcelona,Celta,1,0,H,1,0,H,13,14,5,3,16,9,6,3,2,4,0,0
Elche,Mallorca,1,1,D,1,0,H,7,11,2,4,12,17,5,7,4,5,1,1
Vallecano,Getafe,0,0,D,0,0,D,16,6,3,3,13,17,4,1,2,3,0,0
Girona,Cadiz,1,1,D,0,0,D,23,9,6,2,16,9,6,2,5,4,0,0
Valencia,Elche,2,2,D,2,1,H,20,8,8,6,14,19,6,1,3,6,0,0
Mallorca,Sevilla,0,1,A,0,0,D,9,4,5,1,17,15,1,3,2,3,0,0
Ath Bilbao,Ath Madrid,0,1,A,0,0,D,13,3,3,1,14,17,6,1,0,6,0,0
Celta,Sociedad,1,2,A,1,1,D,10,8,3,6,14,17,1,6,5,7,1,0
Real Madrid,Barcelona,3,1,H,2,0,H,8,18,4,5,11,14,2,3,2,2,0,0
Espanol,Valladolid,1,0,H,0,0,D,15,14,3,2,13,11,6,4,1,4,0,0
Betis,Almeria,3,1,H,1,0,H,15,12,6,5,6,7,9,3,1,1,0,0
Villarreal,Osasuna,2,0,H,1,0,H,12,14,9,3,14,23,8,4,2,6,0,0
Sevilla,Valencia,1,1,D,0,1,A,18,13,5,5,11,26,11,6,4,7,1,0
Getafe,Ath Bilbao,2,2,D,1,1,D,11,14,4,4,14,11,7,4,7,4,0,0
Ath Madrid,Vallecano,1,1,D,1,0,H,12,14,4,4,11,11,3,4,3,0,0,0
Cadiz,Betis,0,0,D,0,0,D,13,12,3,3,15,7,4,9,1,2,0,1
Valladolid,Celta,4,1,H,1,1,D,9,22,7,5,12,11,3,7,1,1,0,0
Sociedad,Mallorca,1,0,H,1,0,H,14,12,7,3,18,9,10,7,1,2,0,0
Elche,Real Madrid,0,3,A,0,1,A,10,10,3,7,14,10,8,2,1,1,0,0
Almeria,Girona,3,2,H,3,0,H,13,14,7,5,14,14,4,5,1,3,0,0
Osasuna,Espanol,1,0,H,0,0,D,17,5,5,3,17,15,9,2,1,2,0,0
Barcelona,Villarreal,3,0,H,3,0,H,16,5,5,1,18,11,8,0,0,1,0,0
Vallecano,Cadiz,5,1,H,2,0,H,28,3,11,0,13,12,10,1,1,4,1,2
Valladolid,Sociedad,1,0,H,1,0,H,9,20,2,2,19,14,4,10,2,3,0,0
Valencia,Mallorca,1,2,A,0,0,D,13,10,3,5,14,19,5,3,3,5,0,0
Real Madrid,Sevilla,3,1,H,1,0,H,18,9,6,2,9,12,4,3,1,4,0,0
Espanol,Elche,2,2,D,1,1,D,13,9,5,4,13,10,5,3,2,3,0,0
Betis,Ath Madrid,1,2,A,0,0,D,17,9,4,3,10,17,7,4,2,3,0,0
Girona,Osasuna,1,1,D,1,1,D,7,9,1,2,11,11,3,5,2,3,0,0
Villarreal,Almeria,2,1,H,0,1,A,11,15,5,4,7,8,10,4,4,1,1,0
Barcelona,Ath Bilbao,4,0,H,3,0,H,10,5,7,3,7,13,1,2,2,2,0,0
Celta,Getafe,1,1,D,0,1,A,17,4,5,1,10,13,10,0,1,1,0,0
Mallorca,Espanol,1,1,D,0,0,D,12,7,5,2,15,9,4,4,4,1,0,0
Almeria,Celta,3,1,H,0,1,A,19,8,5,3,10,7,6,4,4,0,0,1
Cadiz,Ath Madrid,3,2,H,1,0,H,10,15,7,7,15,12,5,3,2,4,0,0
Sevilla,Vallecano,0,1,A,0,0,D,10,15,4,5,9,20,6,6,6,1,0,0
Valencia,Barcelona,0,1,A,0,0,D,3,13,2,2,13,7,3,10,4,5,0,0
Osasuna,Valladolid,2,0,H,2,0,H,20,7,10,2,14,16,1,8,1,3,0,0
Real Madrid,Girona,1,1,D,0,0,D,19,8,6,2,16,8,7,1,3,3,1,0
Ath Bilbao,Villarreal,1,0,H,0,0,D,19,6,7,3,12,10,6,2,2,1,0,0
Sociedad,Betis,0,2,A,0,0,D,14,10,7,4,22,16,5,3,4,4,0,0
Elche,Getafe,0,1,A,0,0,D,12,8,5,3,12,11,6,2,0,3,0,1
Girona,Ath Bilbao,2,1,H,0,0,D,19,11,10,7,11,11,7,1,1,1,0,0
Getafe,Cadiz,0,0,D,0,0,D,13,15,2,4,15,16,5,5,5,2,2,1
Valladolid,Elche,2,1,H,1,0,H,16,4,11,2,9,10,8,4,2,0,0,0
Celta,Osasuna,1,2,A,1,2,A,13,8,5,4,12,20,2,3,1,5,0,0
Barcelona,Almeria,2,0,H,0,0,D,27,4,13,1,14,13,9,1,2,1,0,0
Ath Madrid,Espanol,1,1,D,0,0,D,27,6,7,2,13,10,12,2,3,5,0,1
Sociedad,Valencia,1,1,D,1,1,D,9,14,4,3,11,12,1,11,2,0,1,0
Villarreal,Mallorca,0,2,A,0,1,A,9,7,2,5,17,16,5,2,4,6,0,0
Betis,Sevilla,1,1,D,1,0,H,9,22,4,6,6,20,1,4,4,5,2,1
Vallecano,Real Madrid,3,2,H,2,2,D,15,16,7,2,22,11,4,5,4,5,0,0
Elche,Girona,1,2,A,1,1,D,11,21,2,3,16,9,2,5,3,2,0,0
Ath Bilbao,Valladolid,3,0,H,1,0,H,19,8,6,0,20,6,10,2,3,1,0,0
Osasuna,Barcelona,1,2,A,1,0,H,15,9,3,3,15,6,2,5,4,4,0,2
Almeria,Getafe,1,0,H,1,0,H,8,11,3,3,17,8,7,6,8,4,1,0
Sevilla,Sociedad,1,2,A,1,2,A,6,17,3,9,9,12,2,1,2,2,2,0
Espanol,Villarreal,0,1,A,0,0,D,14,10,6,3,11,6,4,7,1,3,0,0
Mallorca,Ath Madrid,1,0,H,1,0,H,9,17,3,5,14,17,2,5,5,3,0,0
Vallecano,Celta,0,0,D,0,0,D,10,11,3,3,19,16,5,3,7,1,0,0
Valencia,Betis,3,0,H,0,0,D,15,5,7,1,12,9,5,5,1,3,0,1
Real Madrid,Cadiz,2,1,H,1,0,H,18,10,5,5,12,16,7,1,3,3,0,0
Girona,Vallecano,2,2,D,1,1,D,16,12,7,4,14,14,2,4,3,2,0,0
Betis,Ath Bilbao,0,0,D,0,0,D,9,10,5,0,8,17,2,6,1,4,1,0
Ath Madrid,Elche,2,0,H,0,0,D,18,5,4,1,14,20,3,5,3,4,1,2
Getafe,Mallorca,2,0,H,0,0,D,14,3,6,0,10,19,4,2,0,1,0,0
Cadiz,Almeria,1,1,D,0,1,A,12,18,6,9,7,14,3,2,2,0,0,0
Celta,Sevilla,1,1,D,1,0,H,17,7,5,5,11,13,5,6,2,4,0,1
Valladolid,Real Madrid,0,2,A,0,0,D,14,19,4,8,7,9,5,9,2,0,1,0
Barcelona,Espanol,1,1,D,1,0,H,21,4,6,1,11,15,10,2,6,7,1,1
Sociedad,Osasuna,2,0,H,1,0,H,9,11,2,3,10,15,3,2,1,1,0,0
Villarreal,Valencia,2,1,H,1,1,D,14,13,8,4,12,16,5,2,1,3,0,0
Elche,Celta,0,1,A,0,1,A,13,14,5,7,15,15,8,4,3,1,1,0
Valencia,Cadiz,0,1,A,0,1,A,11,6,2,2,14,21,13,2,5,6,0,0
Villarreal,Real Madrid,2,1,H,0,0,D,17,13,5,3,13,6,6,5,4,1,0,0
Mallorca,Valladolid,1,0,H,0,0,D,13,9,4,1,14,17,6,2,2,3,0,0
Espanol,Girona,2,2,D,0,1,A,12,12,6,5,13,16,5,2,3,2,0,0
Almeria,Sociedad,0,2,A,0,0,D,6,9,1,6,13,14,4,2,1,0,0,0
Vallecano,Betis,1,2,A,1,2,A,15,14,3,3,10,16,5,7,3,2,0,0
Sevilla,Getafe,2,1,H,1,0,H,11,11,5,2,13,16,4,4,3,3,0,0
Ath Madrid,Barcelona,0,1,A,0,1,A,20,10,5,2,8,16,7,4,2,3,1,1
Ath Bilbao,Osasuna,0,0,D,0,0,D,17,3,3,1,8,13,14,1,0,1,0,0
Celta,Villarreal,1,1,D,0,1,A,21,3,8,1,11,8,14,3,0,2,0,0
Valladolid,Vallecano,0,1,A,0,0,D,9,13,2,6,17,18,4,8,2,2,0,0
Girona,Sevilla,2,1,H,0,1,A,19,10,7,2,11,7,5,2,3,1,0,0
Osasuna,Mallorca,1,0,H,0,0,D,15,6,4,2,15,19,3,1,2,3,0,0
Sociedad,Ath Bilbao,3,1,H,2,1,H,11,6,5,2,20,15,4,2,5,1,0,1
